id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jarak,jumlah_desa,satuan,tahun
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2001-3000 M,1,DESA,2022
224,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3001-4000 M,0,DESA,2022
225,32,JAWA BARAT,3207,KABUPATEN CIAMIS,>4000 M,0,DESA,2022
226,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0-1000 M,356,DESA,2022
227,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1001-2000 M,5,DESA,2022
228,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2001-3000 M,0,DESA,2022
229,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3001-4000 M,0,DESA,2022
230,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,>4000 M,0,DESA,2022
231,32,JAWA BARAT,3209,KABUPATEN CIREBON,0-1000 M,408,DESA,2022
232,32,JAWA BARAT,3209,KABUPATEN CIREBON,1001-2000 M,4,DESA,2022
233,32,JAWA BARAT,3209,KABUPATEN CIREBON,2001-3000 M,0,DESA,2022
234,32,JAWA BARAT,3209,KABUPATEN CIREBON,3001-4000 M,0,DESA,2022
235,32,JAWA BARAT,3209,KABUPATEN CIREBON,>4000 M,0,DESA,2022
236,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0-1000 M,329,DESA,2022
237,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1001-2000 M,0,DESA,2022
238,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2001-3000 M,0,DESA,2022
239,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3001-4000 M,1,DESA,2022
240,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,>4000 M,0,DESA,2022
241,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0-1000 M,267,DESA,2022
242,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1001-2000 M,2,DESA,2022
243,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2001-3000 M,1,DESA,2022
244,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3001-4000 M,0,DESA,2022
245,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,>4000 M,0,DESA,2022
246,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0-1000 M,297,DESA,2022
247,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1001-2000 M,11,DESA,2022
248,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2001-3000 M,0,DESA,2022
249,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,3001-4000 M,1,DESA,2022
250,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,>4000 M,0,DESA,2022
251,32,JAWA BARAT,3213,KABUPATEN SUBANG,0-1000 M,233,DESA,2022
252,32,JAWA BARAT,3213,KABUPATEN SUBANG,1001-2000 M,9,DESA,2022
253,32,JAWA BARAT,3213,KABUPATEN SUBANG,2001-3000 M,1,DESA,2022
254,32,JAWA BARAT,3213,KABUPATEN SUBANG,3001-4000 M,0,DESA,2022
255,32,JAWA BARAT,3213,KABUPATEN SUBANG,>4000 M,2,DESA,2022
256,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0-1000 M,162,DESA,2022
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1001-2000 M,13,DESA,2022
258,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2001-3000 M,3,DESA,2022
259,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3001-4000 M,4,DESA,2022
260,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,>4000 M,1,DESA,2022
261,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0-1000 M,275,DESA,2022
262,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1001-2000 M,17,DESA,2022
263,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2001-3000 M,0,DESA,2022
264,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3001-4000 M,3,DESA,2022
265,32,JAWA BARAT,3215,KABUPATEN KARAWANG,>4000 M,2,DESA,2022
266,32,JAWA BARAT,3216,KABUPATEN BEKASI,0-1000 M,171,DESA,2022
267,32,JAWA BARAT,3216,KABUPATEN BEKASI,1001-2000 M,7,DESA,2022
268,32,JAWA BARAT,3216,KABUPATEN BEKASI,2001-3000 M,1,DESA,2022
269,32,JAWA BARAT,3216,KABUPATEN BEKASI,3001-4000 M,1,DESA,2022
270,32,JAWA BARAT,3216,KABUPATEN BEKASI,>4000 M,0,DESA,2022
271,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0-1000 M,160,DESA,2022
272,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1001-2000 M,5,DESA,2022
273,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2001-3000 M,0,DESA,2022
274,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3001-4000 M,0,DESA,2022
275,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,>4000 M,0,DESA,2022
276,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0-1000 M,90,DESA,2022
277,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1001-2000 M,3,DESA,2022
278,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2001-3000 M,0,DESA,2022
279,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3001-4000 M,0,DESA,2022
280,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,>4000 M,0,DESA,2022
281,32,JAWA BARAT,3279,KOTA BANJAR,0-1000 M,16,DESA,2022
282,32,JAWA BARAT,3279,KOTA BANJAR,1001-2000 M,0,DESA,2022
283,32,JAWA BARAT,3279,KOTA BANJAR,2001-3000 M,0,DESA,2022
