bps_kode_desa_kelurahan,bps_nama_kabupaten_kota,bps_nama_desa_kelurahan,tahun,jarak_sd_terdekat,keberadaan_bumdesa_keuangan_program_usaha_ekonomi_desa,jumlah_fasilitas_olahraga,status_sinyal_telepon_seluler,jumlah_alat_teknologi_tepat_guna_perikanan,jumlah_alat_teknologi_tepat_guna_peternakan,ketersediaan_tempat_pembuangan_sampah,jumlah_tenaga_kesehatan_lainnya,sinyal_score,bumdes_score,sampah_score,cluster,status_desa
3204060013.0,KABUPATEN BANDUNG,TANJUNGWANGI,2020.0,400.0,TIDAK ADA,5.0,SINYAL KUAT,12.0,10.0,ADA,4,3,0,1,2,Mandiri (Ekonomi)
3204060011.0,KABUPATEN BANDUNG,MEKARSARI,2020.0,250.0,ADA,15.0,SINYAL KUAT,2.0,4.0,TIDAK ADA,0,3,1,0,4,Mandiri (Tata Kelola)
3204050007.0,KABUPATEN BANDUNG,SUKAPURA,2020.0,20.0,TIDAK ADA,7.0,SINYAL KUAT,12.0,25.0,ADA,5,3,0,1,2,Mandiri (Ekonomi)
3204050005.0,KABUPATEN BANDUNG,CIBEUREUM,2020.0,50.0,TIDAK ADA,23.0,SINYAL KUAT,2.0,5.0,ADA,32,3,0,1,1,Maju
3204050002.0,KABUPATEN BANDUNG,SANTOSA,2020.0,100.0,TIDAK ADA,18.0,SINYAL KUAT,0.0,0.0,ADA,4,3,0,1,1,Maju
3204050003.0,KABUPATEN BANDUNG,TARUMAJAYA,2020.0,100.0,TIDAK ADA,18.0,SINYAL KUAT,0.0,0.0,ADA,3,3,0,1,1,Maju
3204050001.0,KABUPATEN BANDUNG,NEGLAWANGI,2020.0,10.0,TIDAK ADA,9.0,SINYAL KUAT,0.0,0.0,ADA,3,3,0,1,1,Maju
3204050006.0,KABUPATEN BANDUNG,CIHAWUK,2020.0,10.0,TIDAK ADA,14.0,SINYAL KUAT,0.0,0.0,ADA,2,3,0,1,1,Maju
3204050004.0,KABUPATEN BANDUNG,CIKEMBANG,2020.0,75.0,TIDAK ADA,16.0,SINYAL KUAT,0.0,70.0,ADA,4,3,0,1,2,Mandiri (Ekonomi)
3204050008.0,KABUPATEN BANDUNG,RESMI TINGAL,2020.0,50.0,TIDAK ADA,14.0,SINYAL KUAT,0.0,0.0,ADA,4,3,0,1,1,Maju
3204140006.0,KABUPATEN BANDUNG,BOJONGMALAKA,2020.0,10.0,TIDAK ADA,4.0,SINYAL KUAT,0.0,0.0,ADA,0,3,0,1,1,Maju
3204140007.0,KABUPATEN BANDUNG,RANCAMANYAR,2020.0,200.0,TIDAK ADA,19.0,SINYAL KUAT,0.0,0.0,ADA,13,3,0,1,1,Maju
3204140005.0,KABUPATEN BANDUNG,MALAKASARI,2020.0,100.0,TIDAK ADA,8.0,SINYAL KUAT,0.0,0.0,ADA,0,3,0,1,1,Maju
